падеж nominal case [ˈnɒmɪnl] [keɪs] [ˈноминл] [кейс]
пунктир dotted line [ˈdɒtɪd] [laɪn] [ˈдотид] [лайн]
Золушка Cinderella [ˌsɪndəˈrɛlə] [ˌсиндэˈрелэ]
русалка mermaid [ˈmɜːmeɪd] [ˈмёмейд]
волшебница good witch [gʊd] [wɪʧ] [гуд] [wич]
гном dwarf [dwɔːf] [дwоф]
призрак phantom [ˈfæntəm] [ˈфэнтэм]
великан giant [ˈʤaɪənt] [ˈджайэнт]
Овен Aries [ˈeəriːz] [ˈеэриз]
Телец Taurus [ˈtɔːrəs] [ˈторэс]
Близнецы Gemini [ˈʤɛmɪnaɪ] [ˈджеминай]
Рак Cancer [ˈkænsə] [ˈкэнсэ]
Лев Leo [ˈli(ː)əʊ] [ˈлиоу]
Дева Virgo [ˈvɜːgəʊ] [ˈвёгоу]
Весы Libra [ˈlaɪbrə] [ˈлайбрэ]
Скорпион Scorpio [ˈskɔːpɪəʊ] [ˈскопиоу]
Стрелец Sagittarius [ˌsæʤɪˈteərɪəs] [ˌсэджиˈтеэриэс]
Козерог Capricorn [ˈkæprɪkɔːn] [ˈкэприкон]
Водолей Aquarius [əˈkweərɪəs] [эˈкwээриэс]
Рыбы Pisces [ˈpɪsiːz] [ˈписиз]
