дирижёр conductor [kənˈdʌktə] [кэнˈдактэ]
поэт poet [ˈpəʊɪt] [ˈпоуит]
скульптор sculptor [ˈskʌlptə] [ˈскалптэ]
жонглёр juggler [ˈʤʌglə] [ˈджаглэ]
психиатр psychiatrist [saɪˈkaɪətrɪst] [сайˈкайэт..]
стоматолог stomatologist [ˌstɒməˈtɒləʤɪst] [ˌстомэˈтол..]
слесарь metalworker [ˈmɛtlˌwɜːkə] [ˈметлˌwокэ]
столяр joiner, carpenter [ˈʤɔɪnə], [ˈkɑːpɪntə] [ˈджойнэ], [ˈкапинтэ]
токарь turner [ˈtɜːnə] [ˈтёнэ]
историк historian [hɪsˈtɔːrɪən] [хисˈториэн]
физик physicist [ˈfɪzɪsɪst] [ˈфизисист]
химик chemist [ˈkɛmɪst] [ˈкемист]
археолог archaeologist [ˌɑːkɪˈɒləʤɪst] [ˌакиˈолэдж..]
главный редактор editor-in-chief [ˈɛdɪtərɪnˈʧiːf] [ˈедитэрин..]
машинистка typist [ˈtaɪpɪst] [ˈтайпист]
моряк sailor [ˈseɪlə] [ˈсейлэ]
матрос seaman [ˈsiːmən] [ˈсимэн]
спасатель rescuer [ˈrɛskjʊə] [ˈрескьюэ]
сторож watchman [ˈwɒʧmən] [ˈwочмэн]
сапожник cobbler [ˈkɒblə] [ˈкоблэ]
